artist,album,track,uri
Tori Kelly,Hallelujah,Hallelujah,spotify:track:3wWinz94TSPWe6CgTaSK6x
Lalo Ebratt,Déjate Querer,Déjate Querer,spotify:track:3mN2DtljBhnrIpc3Nu2pJ8
Arnau Griso,Mil Meses,Mil Meses - Acústico,spotify:track:7G4f5mDbZoR9IZEZIN5rYm
Oriana,Mis Manos,Mis Manos,spotify:track:459Mrs387nO2xlhABWfOSb
Bazzi,Soul Searching,Paradise,spotify:track:0Rx0DJI556Ix5gBny6EWmn
Emily Osment,Disney Channel Playlist,Hero In Me,spotify:track:4jPsaBoRGfrs7QhsIeZ1Fy
Rels B,SHORTY QUE TE VAYA BN <3,SHORTY QUE TE VAYA BN <3,spotify:track:3CQDFLetMMxD5hzAnUk410
The Vamps,Pop Nostalgia,I Found A Girl,spotify:track:6bA4eO48FqoCes3shkFoqB
Jeremy Zucker,brent,scared,spotify:track:6r2JV75tE0vNgNCv4HKsBC
Cheat Codes,Sex,Sex,spotify:track:2jfmh71b4cFtelf8KOJT60
Ariana Grande,Sweetener,goodnight n go,spotify:track:14kYOiFVPb7E7NfFbqhdln
The Strumbellas,Hope,Spirits,spotify:track:3dv9Bvpp9HikNsEvDCKHhC
Piso 21,Piso 21,Vagones Vacios,spotify:track:1uUw9emUln2Bcm0xZsLHl3
Jacob Sartorius,The Last Text EP,Love Me Back,spotify:track:3xUgD4vi3d6SE8x0lMwKdF
WOS,CARAVANA,NO VA A BAJAR,spotify:track:3wNiMUFSp0H7zF7QH4vCPq
Austyn Johnson,The Greatest Showman (Original Motion Picture Soundtrack),A Million Dreams (Reprise),spotify:track:66y7x28jXOPrcmu3D5Zjh6
Jóvenes Catedral de San Isidro,Vivir en Ti,Sal y Luz,spotify:track:1jNqASHXLkLdWhnw3uzzRl
THE ANXIETY,Meet Me At Our Spot,Meet Me At Our Spot - Live,spotify:track:3BrWLBC4WYx393yRUOlTih
Piso 21,Piso 21,No Te Necesito,spotify:track:4H3NPs5ifdx3cr6R7ZwgOb
Sech,42,Feliz de Mentira,spotify:track:5Yxlmh4fmu16ivEabEbD9l
Jason Derulo,Take You Dancing,Take You Dancing - R3HAB Remix,spotify:track:6BBD4ORMmIXeOND3kFQ1IB
El Dipy,No Lo Compren,Dale Zorrita,spotify:track:4fobsgzB6v77kwv57KsjNe
Juice WRLD,Death Race For Love,Robbery,spotify:track:6Hj9jySrnFppAI0sEMCZpJ
Sevenn,Loco Papi,Loco Papi,spotify:track:5EuVplVa6I5vbAUBuCRnvS
Pitbull,Original Hits,Go Girl,spotify:track:1HTN2lX8X87qmMXTtI9FDL
Lizzo,Cuz I Love You,Juice,spotify:track:0k664IuFwVP557Gnx7RhIl
Conor Maynard,Covers,Hello,spotify:track:13pgP4LlXf849wDkBJDi5h
Vanessa Hudgens,Pop Nostalgia,Come Back To Me,spotify:track:0VNenP2ElJmIO1NCRpl2dA
James TW,You & Me,You & Me,spotify:track:5g45gvxgaYVuhkDACPnvfh
Shawn Mendes,MTV Unplugged,There's Nothing Holdin' Me Back - MTV Unplugged,spotify:track:65H7KoHbvjLRqpKqTJypZX
Katy Perry,Pop Nostalgia,Firework,spotify:track:3vOCsUgxhHQuo0oFEtZaKo
