artist,album,track,uri
Calle 13,Residente o Visitante,Se Vale To-To,6eIGAs9uUM37ljYw75wle9
Jason Mraz,We Sing. We Dance. We Steal Things.,Coyotes,6vPVvxt3QOORYL7EtoU80M
Coro Pascua Joven San Isidro,Alimento que da vida,Dios te salve,3Lb6AOekXpgGtbBc0YptAC
Calle 13,Entren Los Que Quieran,"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)",1xuYajTJZh8zZrPRmUaagf
La Beriso,En Vivo en el Estadio Único,Otra Noche Más - En Vivo en el Estadio Único,2aVyAeIrybvMO7eTOkWYwL
Emmanuel Horvilleur,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,19 (feat. Gustavo Cerati),1ze7KCQHtL5XwjTwA3iPNH
Jason Mraz,We Sing. We Dance. We Steal Things.,Lucky,2qLMf6TuEC3ruGJg4SMMN6
Bryan Adams,Reckless,Long Gone - Live At Hammersmith Odeon/1985,3Ip9c1cded6PloRbR1opGA
Jason Mraz,We Sing. We Dance. We Steal Things.,Live High - From the Avocado Salad Sessions,5EShFPc0rLTHE2NaXlDume
Imagine Dragons,Night Visions,My Fault,1n108NGnovKSwv2z0J9Vmw
Red Hot Chili Peppers,Californication,Porcelain,6WUjz18yIeTGDR1E69WHtf
Jason Mraz,Love Is a Four Letter Word,In Your Hands,4eJg7tx4azOyQsSWCtkKB6
PAW Patrol,PAW Patrol Official Theme Song & More,PAW Patrol on a Roll,2efkanyOeo0Vzkli3HfcuU
Queen,Bohemian Rhapsody,Love Of My Life - Live At Rock In Rio,6Am82YdURCRXRvoVUObzzG
Bryan Adams,Reckless,Lonely Nights - Live At Hammersmith Odeon/1985,5U7BArvcstAOQoxMgEQo8g
Owl City,Ocean Eyes,Fireflies,1mr3616BzLdhXfJmLmRsO8
Las Pelotas,40 Principales Pop & Rock Nacionales,Será (En Vivo),6rGUIoK3yd06trN4k8BJyF
Bryan Adams,Reckless,Heaven,7Ewz6bJ97vUqk5HdkvguFQ
Louis Tomlinson,Walls,We Made It,3tCYlGxMS5ht2g3vB36SiJ
Louis Tomlinson,Walls,Don't Let It Break Your Heart,4nbQRLAPq202lsQsv9FNwK
Calle 13,Residente o Visitante,Suave,2Z6Ytzo8VsfBJkoAfDOkQh
Jason Mraz,Know.,Unlonely,7Igc6JB0xPDcn5yRkkVGQX
Niall Horan,Flicker,Fire Away,3ul8YWNcs8z5cmudWmg0hA
Jason Mraz,We Sing. We Dance. We Steal Things.,Love for a Child - From the Casa Nova Sessions,4mAIfqhdsleDmcrA2FGZkj
Coro Pascua Joven San Isidro,Se entregó por mí,Haciéndote pan,2nU5XdQRIipiD72gIYrgg2
Jason Mraz,We Sing. We Dance. We Steal Things.,A Beautiful Mess,4HMVeqf1r9cH240Ann9sJ3
Dread Mar I,40 Principales Pop & Rock Nacionales,Tú Sin Mí,6dDbXJnEItsk7R6e7VFV93
Jason Mraz,YES! (Commentary),You Can Rely on Me,7rAnZVeCChSMEH1gk5cq9Q
Green Day,American Idiot,Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm
Pitbull,Global Warming: Meltdown (Deluxe Version),Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS
Ed Sheeran,x,Don't,1huvTbEYtgltjQRXzrNKGi
Red Hot Chili Peppers,Californication,I Like Dirt,2bo1tTjK87OHKKUDFthqHx
