trackName,endTime,artistName,msPlayed,uri
EL TONTO,2023-04-14 15:22,Lola Indigo,90446,0OqoRBKlvRZarXZqE7AH7z
Easy On Me,2022-06-28 19:43,Adele,1343180,46IZ0fSY2mpAiktS3KOqds
Eclipse,2022-07-27 21:55,Zeballos,13183079,2YqdfLhtJKoXQQLwy4nvqd
El Cielo a Mi Favor,2022-12-18 03:29,Ricardo Arjona,1737634,0BJwrbkZKf7KwlwBOJbD8i
El Fantasma,2022-09-11 23:39,Árbol,489624,0N361WhEqVunVl5ZBkfd70
El Perdedor,2023-01-21 18:38,Enrique Iglesias,88318,1iEwyiSLAunPR6uouANE0O
El Rehén,2023-01-12 13:25,Xantos,2794,1vJxPaXsZUXqSIBVFgtebF
El Viejo,2022-09-10 20:44,La Vela Puerca,563523,7gKqjNMM4ikt7KFTRsgZgL
El viaje,2022-10-05 21:04,Felipe Barrenechea,478303,1Q4sh2qHtUxujMkQ536QAO
Elena,2023-01-25 17:31,Sebastian Yatra,155093,0c8JmuKzaREJu3kUqoBfmo
Ella,2022-09-13 19:29,La Beriso,5574524,5aVhIDZmDeMt2C2ZMX5KoH
Ella Dice,2023-03-08 09:40,TINI,698525,5UKBbglwH7gZEkzfuWGn5J
Ella No Es Tuya - Remix,2022-10-09 17:37,Rochy RD,893813,5YYW3yRktprLRr47WK219Y
En Guerra,2023-01-12 09:36,Sebastian Yatra,886354,6dJPqP0gHP6iAZuIk1njBs
En Un Sólo Dia,2022-06-28 12:56,Morat,2533421,0epE322eIwbGrlZxkqpzun
Entre Nosotros,2022-06-10 18:46,Tiago PZK,723277,6w8yBI2vthyN9UnwO4UBWb
Entre Tú y Yo,2022-10-07 14:31,Chema Rivas,224000,1nxlRYbM2Ral4im0LExtZY
Eres Tú,2022-07-04 16:54,Morat,935066,5MN6TXwzNqYBg3jikXuvAl
Es gratis - Acústico,2022-09-11 16:24,Arnau Griso,731309,0GKlIuZcQCiv8bvWgRNiAb
Escape My Mind,2023-01-12 13:28,Grace VanderWaal,196306,0O8YMwF6fUty67k61XN9W7
Escúchame Loca,2022-10-07 10:03,Joshua Dietrich,394263,4a03WDAgf7bPwEHel88AFU
