endTime,artistName,trackName,msPlayed,uri
2022-06-22 10:24,Dove Cameron,If Only,229813,1mRBJdpIgc3jZH8C3cN2WV
2022-06-22 10:27,Sabrina Carpenter,Skin,177500,03B2SfXuvDh1m9F4tqrX07
2022-06-22 10:30,Julie and the Phantoms Cast,Perfect Harmony (feat. Madison Reyes & Charlie Gillespie),204000,5yeHtAPGAFsfN9baoglUlc
2022-06-22 10:34,Anson Seabra,Welcome to Wonderland,199131,3JfHYZKy5JmE5Fv4gDTCiz
2022-06-22 20:12,Sabrina Carpenter,Skin,177234,03B2SfXuvDh1m9F4tqrX07
2022-06-22 20:13,Hailee Steinfeld,Wrong Direction,32809,5Qsp8mtshe70DX7EYbWZGo
2022-06-22 20:16,Lewis Capaldi,Hold Me While You Wait,205686,60iSKGrGazRzICtMjADNSM
2022-06-22 20:20,Selena Gomez,Back To You,210240,514rhnksEwHUh6LxXsQ4Y9
2022-06-22 20:24,Sleeping At Last,Chasing Cars,242564,2d7LPtieXdIYzf7yHPooWd
2022-06-22 20:34,Tate McRae,you broke me first,169265,45bE4HXI0AwGZXfZtMp8JR
2022-06-22 20:37,Finding Hope,Nightlight,9775,73LdhMZm8CrXJEi2wm6um3
2022-06-22 20:37,Sam Fischer,What Other People Say (with Sam Fischer),1346,2tsI8snJhb4BL9zczvlZmL
2022-06-22 20:37,Manuel Medrano,Bajo El Agua,2182,5QSYWruQQ7kBCHScI4xJ9g
2022-06-22 20:37,Sam Fischer,This City,194853,3H3r2nKWa3Yk5gt8xgmsEt
2022-06-22 20:37,James TW,When You Love Someone,2275,0TXNKTzawI6VgLoA9UauRp
2022-06-22 20:41,Michael Schulte,Falling Apart,198572,0aIW3ekrhK1eh3BYCh11op
2022-06-22 20:44,Ashe,Moral of the Story,201083,2nC3QhMI9reBIOWutbU3Tj
2022-06-22 20:44,Loren Allred,Never Enough,18300,0Gl5s8IhMmQE5YQwM8Qx1J
2022-06-22 20:44,One Direction,Over Again,905,4RC5YmcpCbRsX3AtRzoQeh
2022-06-22 20:48,Loren Allred,Never Enough,207786,0Gl5s8IhMmQE5YQwM8Qx1J
2022-06-22 20:50,One Direction,Over Again,182040,4RC5YmcpCbRsX3AtRzoQeh
2022-06-22 20:51,Anson Seabra,Welcome to Wonderland,10078,3JfHYZKy5JmE5Fv4gDTCiz
2022-06-22 20:54,Taylor Swift,Crazier,191946,5vyxXfD5gLlyPxGZMEjtmd
2022-06-22 20:57,Cole Norton,Perfect,6391,5yWL57uHx9aincW0l7px7p
2022-06-22 20:57,Anson Seabra,Peter Pan Was Right,192497,2At18rPHOuTEjGEppwGV0A
2022-06-22 21:01,M83,Wait,2693,01Q3OyB05mLgH01fpdAMPP
2022-06-22 21:01,Tyrese Pope,Not a Love Song,1091,7c7eehhS6b19w6rEeuLhD6
2022-06-22 21:01,5 Seconds of Summer,Lover Of Mine,1068,4CufDREo1dO9TL7txA5SGA
2022-06-22 21:01,Matthew Mole,Take Yours,228893,6wwu8cc0nP60ha0biRmqGY
2022-06-22 21:01,Tom Odell,Heal,1253,4KlL5Bwlm4yHYxr0B2rHci
2022-06-22 21:03,Anson Seabra,Come Close,998,10LSITr9KpQs2uCh7g2QQh
2022-06-22 21:03,Tyrese Pope,Not a Love Song,135000,7c7eehhS6b19w6rEeuLhD6
2022-06-22 21:03,5 Seconds of Summer,Lover Of Mine,4213,4CufDREo1dO9TL7txA5SGA
2022-06-22 21:07,5 Seconds of Summer,Lover Of Mine,206973,4CufDREo1dO9TL7txA5SGA
2022-06-22 21:08,Anson Seabra,Come Close,86142,10LSITr9KpQs2uCh7g2QQh
2022-06-22 21:12,Tate McRae,she's all i wanna be,206772,0IuVhCflrQPMGRrOyoY5RW
2022-06-22 21:13,Niall Horan,This Town,117639,5nA67Y0XX9JipZwYxX7Gl7
2022-06-23 13:32,One Direction,18,248360,3JjnGLK8IxkNLvo8Lb3KOM
2022-06-23 13:43,Niall Horan,This Town,232852,5nA67Y0XX9JipZwYxX7Gl7
2022-06-23 13:45,Zac Efron,Rewrite The Stars,2066,65fpYBrI8o2cfrwf2US4gq
2022-06-23 13:53,Cole Norton,Perfect,15887,5yWL57uHx9aincW0l7px7p
2022-06-23 20:35,One Direction,Perfect,230333,5yWL57uHx9aincW0l7px7p
2022-06-23 20:39,Julie and the Phantoms Cast,Perfect Harmony (feat. Madison Reyes & Charlie Gillespie),204000,5yeHtAPGAFsfN9baoglUlc
2022-06-23 21:01,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",196187,5A3fPy30SN2wuzrahpcxvV
2022-06-23 21:15,Hailee Steinfeld,Wrong Direction,2818,5Qsp8mtshe70DX7EYbWZGo
2022-06-23 21:15,Halsey,Sorry,220274,6MXJdqTuSDXkG21JHWiGko
2022-06-23 21:23,Alessia Cara,River Of Tears,219780,3ArYVrRb0lDBLzuJJqIXzC
2022-06-24 09:58,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,193613,39IsH7B5byx8NRlEKlZVg9
2022-06-24 10:01,Manuel Medrano,Bajo El Agua,225838,5QSYWruQQ7kBCHScI4xJ9g
2022-06-24 10:05,Lord Huron,The Night We Met,208211,3hRV0jL3vUpRrcy398teAU
2022-06-24 10:08,Birdy,Deep End,208839,555CH6CnGJRqO37pqA30vW
2022-06-24 10:09,Matthew Mole,Running After You,1811,6cRkm1iHWDYpkQanPyLqwn
2022-06-24 10:09,M83,Wait,1671,01Q3OyB05mLgH01fpdAMPP
2022-06-24 10:09,Sabrina Carpenter,Skin,59690,03B2SfXuvDh1m9F4tqrX07
2022-06-24 10:12,Haiden,Sorry to Your Next Ex,171314,3MmSF1hLnAHBrpF4A0fY9d
2022-06-24 10:14,AJ Mitchell,Used to Be,128976,6Vt5LdwSUvbcDfWThqnBK5
2022-06-24 10:14,Anson Seabra,Broken,1532,4oLLl2b0pZ5Ksp4SWISJyx
2022-06-24 10:14,James TW,When You Love Someone,1927,0TXNKTzawI6VgLoA9UauRp
2022-06-24 10:14,JP Saxe,If the World Was Ending (feat. Julia Michaels),1346,2kJwzbxV2ppxnQoYw4GLBZ
2022-06-24 10:14,Anson Seabra,Welcome to Wonderland,2786,3JfHYZKy5JmE5Fv4gDTCiz
2022-06-24 10:19,Vancouver Sleep Clinic,Someone To Stay,254013,2xlV2CuWgpPyE9e0GquKDN
2022-06-24 10:22,Jacob Lee,Secrets,232292,5QcXv2olyooZY0D5V1xzhU
2022-06-24 10:26,Anson Seabra,Keep Your Head Up Princess,198220,19pChrR4hwdINqoOFUo2Hj
2022-06-24 10:29,Michael Schulte,Falling Apart,175894,0aIW3ekrhK1eh3BYCh11op
2022-06-24 13:31,Anson Seabra,Lucky Charms,661,1Cwg5W2pW4aDvgUnb0PAvL
2022-06-24 13:31,Zac Efron,Rewrite The Stars,1258,65fpYBrI8o2cfrwf2US4gq
2022-06-24 13:31,Michael Schulte,Falling Apart,198573,0aIW3ekrhK1eh3BYCh11op
2022-06-24 13:31,Julia Michaels,What A Time (feat. Niall Horan),1002,5WtfUKzXircvW8l5aaVZWT
2022-06-24 13:34,Julia Michaels,What A Time (feat. Niall Horan),173306,5WtfUKzXircvW8l5aaVZWT
2022-06-24 13:37,Anson Seabra,Lucky Charms,190127,1Cwg5W2pW4aDvgUnb0PAvL
2022-06-24 13:40,lovelytheband,broken,204878,6XcfKZvJio9Z0fQy11GnNX
2022-06-24 13:44,Bohnes,Middle Finger,229986,0IK8y0vAO0sM630HsxwLht
2022-06-24 13:46,Sleeping At Last,Chasing Cars,1322,2d7LPtieXdIYzf7yHPooWd
2022-06-24 13:46,ROSIE,Never the 1,960,3gk96wClxx6rbSOpxXUc5O
2022-06-24 13:46,nilu,Are You With Me,917,2NTww3JSBHpySR2plYyAd6
2022-06-24 13:49,Kodaline,Brother,203185,65gLJGey4u4KFFqoC5fzFJ
2022-06-24 13:52,Tate McRae,that way,175026,7l97ElWmIdVHWUaOeeU5ZC
2022-06-24 14:01,Taylor Swift,Crazier,191946,5vyxXfD5gLlyPxGZMEjtmd
2022-06-24 14:04,One Direction,Over Again,182040,4RC5YmcpCbRsX3AtRzoQeh
2022-06-24 14:05,Tyrese Pope,Not a Love Song,4629,7c7eehhS6b19w6rEeuLhD6
2022-06-24 14:09,P!nk,Try,247906,1jF7IL57ayN4Ity3jQqGu0
2022-06-24 14:12,Sam Fischer,What Other People Say (with Sam Fischer),6230,2tsI8snJhb4BL9zczvlZmL
2022-06-24 14:12,Stephen Sanchez,Until I Found You - Piano Version,184895,06vNG6CiV4k8oNA0wUUAO7
2022-06-24 14:16,Olivia Rodrigo,drivers license,242013,7lPN2DXiMsVn7XUKtOW1CS
2022-06-24 14:16,BANNERS,Shine A Light,14420,1fDtoTPDyzkNOfFIRXxsC5
2022-06-24 14:19,Olivia Rodrigo,favorite crime,152666,5JCoSi02qi3jJeHdZXMmR8
2022-06-24 14:25,Juan Magán,"Rápido, Brusco, Violento",193608,63HbvWprv2Mhu63x0nMmLH
2022-06-24 14:28,Olivia Rodrigo,good 4 u,178146,6PERP62TejQjgHu81OHxgM
2022-06-24 14:47,Anson Seabra,Come Close,1856,10LSITr9KpQs2uCh7g2QQh
2022-06-24 14:55,Anson Seabra,Come Close,179796,10LSITr9KpQs2uCh7g2QQh
2022-06-24 15:00,Alessia Cara,River Of Tears,254506,3ArYVrRb0lDBLzuJJqIXzC
2022-06-24 15:03,Anson Seabra,Unloving You,153863,2w9nvs1ByWUGkED4M0ug34
2022-06-24 15:04,Loren Allred,Never Enough,3136,0Gl5s8IhMmQE5YQwM8Qx1J
2022-06-24 15:04,Jeremy Zucker,scared,100857,6r2JV75tE0vNgNCv4HKsBC
2022-06-24 15:05,Ruel,Hard Sometimes,981,0D2xguFRqCF0OUqXCkqrpU
2022-06-24 15:05,Matt Landi,"Oh Man, What a View!",938,2b5zQzxVQUVacZKGkpw59z
2022-06-24 15:08,Benson Boone,In The Stars,216410,1ei3hzQmrgealgRKFxIcWn
2022-06-24 15:08,Reik,Ya Me Enteré,10078,0lPXFrKyl8HkdQ2E6NmNja
2022-06-24 15:09,Oh Wonder,White Blood,426,3sZfQB5uYTJmA4QnB8dv7P
2022-06-24 15:12,Reik,Ya Me Enteré,185295,0lPXFrKyl8HkdQ2E6NmNja
2022-06-24 15:16,Oh Wonder,White Blood,257426,3sZfQB5uYTJmA4QnB8dv7P
2022-06-24 15:19,Jasmine Thompson,Will Follow You Into the Dark,204091,3A31Rer0lC31LUGxQwmO8V
2022-06-24 15:23,Anson Seabra,When It's Over,257333,4nc2fSP2m3BinlX6j7ZlKK
2022-06-24 15:27,Mau y Ricky,Perdóname,208986,4mivRZXyZbIDecPTiCtOjw
2022-06-24 15:30,Anson Seabra,"It's Raining, It's Pouring",183089,0dhw2WjJZBsbBDv0Ipdgbw
