artist,album,track,uri
Jason Mraz,YES! (Commentary),Best Friend,spotify:track:7vzKaKuEAvVsJzeI3ut3LS
Jason Mraz,We Sing. We Dance. We Steal Things.,Butterfly,spotify:track:095eK5hacN4Y9r7k8TyJ1B
Fito Paez,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,El Cuarto de al Lado,spotify:track:4XJw2ZvetijvyT14wJ1XnV
Red Hot Chili Peppers,Californication,Savior,spotify:track:0O8RjwNco465s5o9Ix9IYj
Train,Bulletproof Picasso,Just a Memory,spotify:track:7zmMQkL7IYtzlA8NkrA68k
Train,California 37,Mermaid,spotify:track:2o3qA8lOCXZ8cRGhuWNT4J
Coro Pascua Joven San Isidro,Nueva Mañana,Dame tus Ojos,spotify:track:4Kb1ahsU6CASH3L2fTnie8
Justin Bieber,Believe,Maria,spotify:track:29U5oQA6is4paPj5m31x4n
Ed Sheeran,x,Runaway,spotify:track:2VmA7bm5ECiYZfw7x4Nzku
Niall Horan,Flicker,Slow Hands,spotify:track:38yBBH2jacvDxrznF7h08J
Coro Pascua Joven San Isidro,Nueva Mañana,Treinta Monedas,spotify:track:37biQ185RLOHoELp6uhNm8
Fran Busso,Agua y Harina,Náufrago,spotify:track:4z7So1Jg2N6HOHto7z5JLT
Lady Gaga,A Star Is Born Soundtrack,Music To My Eyes,spotify:track:5IXk9TVBuxG87sFrwclBJw
Kygo,Higher Love,Higher Love,spotify:track:6oJ6le65B3SEqPwMRNXWjY
Bryan Adams,Reckless,It's Only Love,spotify:track:5xGsNXXTu545MWoeuFfjxT
Coro Pascua Joven San Isidro,Nueva Mañana,Cristo Calla,spotify:track:0cMlhLZI2LGoBzaqe20zpA
Jason Mraz,YES! (Commentary),Long Drive,spotify:track:6keUc6LHhh1HkJfE87bnG9
Jason Mraz,YES! (Commentary),Rise - Commentary,spotify:track:4kpN3IVVc9rtwJjdc6O6BC
Ed Sheeran,x,The Man,spotify:track:1gHF0I223J5pv06SuBcmkz
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours - From the Casa Nova Sessions,spotify:track:384ft9nYgu5fpnbeSMXkMo
The Script,No Sound Without Silence,Superheroes,spotify:track:37sINbJZcFdHFAsVNsPq1i
Jason Mraz,We Sing. We Dance. We Steal Things.,Love for a Child,spotify:track:1Qvuj9WloHBRn7FRoCXepE
Bryan Adams,Reckless,Draw The Line,spotify:track:6eeIEZhjXr0XzyeiLpKftt
Mancha De Rolando,Viaje,Viaje,spotify:track:6n7eNFMciACeSfOdtrqFh3
Bryan Adams,Reckless,One Night Love Affair,spotify:track:5W2wzbDu4os7SbAGVzbYfY
Queen,Bohemian Rhapsody,Hammer To Fall - Live Aid,spotify:track:5ekobRVHvm435Eipr1StAg
Calle 13,Entren Los Que Quieran,Intro,spotify:track:3ffHNDPlP9k1ZTuEJsxBm5
Lady Gaga,A Star Is Born Soundtrack,Heal Me,spotify:track:5eRo6g2COIM4OE3UEHMA4g
Coro Pascua Joven San Isidro,Alimento que da vida,Vida en abundancia,spotify:track:7oMgpX0X6TnxXdADuAz7Sc
Calle 13,Residente o Visitante,Pa'l Norte (feat. Orishas),spotify:track:7zmDFfSrtSd2JeqBqRqUmV
La Fronda,40 Principales Pop & Rock Nacionales,Monarca de Ningún Lugar,spotify:track:6Z0Hqd3WDFwayk9Bx6UikL
Jason Mraz,Love Is a Four Letter Word,The Woman I Love,spotify:track:6Vn8lTVMjILXQCjZUXS8n4
Coro Pascua Joven San Isidro,Estás Aquí,Lágrimas de Vida,spotify:track:5ywcQGCvxTbpF7iGt9R2qz
Bryan Adams,Reckless,Tonight - Live At Hammersmith Odeon/1985,spotify:track:5jVQV7slbsxvMB4EujbHdU
Train,California 37,You Can Finally Meet My Mom,spotify:track:0UnnPoUkys3vA1PNJyN7MO
Jauría,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Adiós a Dios,spotify:track:3xZo6fmai1g1IpHfPh2GAV
John Mayer,Continuum,Waiting On the World to Change,spotify:track:5imShWWzwqfAJ9gXFpGAQh
Coro Pascua Joven San Isidro,Se entregó por mí,Iluminado por el fuego,spotify:track:2Jw1azS1gSscmuPmi0a7Np
La Beriso,En Vivo en el Estadio Único,Sueños - En Vivo en el Estadio Único,spotify:track:7ErDvFvM8iRtFCGZ0B0cdt
Ed Sheeran,÷,Galway Girl,spotify:track:0afhq8XCExXpqazXczTSve
Arnau Griso,Revolución Bananera,No Sé Nadar,spotify:track:52348fEFFPjl8PHMqWzHyY
Arnau Griso,Te lo juro,Te lo juro - Acústico,spotify:track:5T28d6NbnAwpwQ1Guvq8YO
Calle 13,Entren Los Que Quieran,Inter - En Annunakilandia,spotify:track:3hZeukSl6tkGX7mPpp8OUZ
Indios,40 Principales Pop & Rock Nacionales,Casi Desangelados,spotify:track:4aJCa5PF4KfF1ruyKFPwjB
The Script,The Script,The Man Who Can't Be Moved,spotify:track:4Musyaro0NM5Awx8b5c627
